feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,CD1a_pmol,CD1b_pmol,CD1c_pmol,CD1d_pmol
Cer 40:1;4,Cer,SL,MEM,40,1,4,NA,NA,NA,0.420473009
Cer 40:2;2,Cer,SL,MEM,40,2,2,5.24479007720947,0.332556993,3.176029920578,7.827310085
Cer 40:2;4,Cer,SL,MEM,40,2,4,NA,NA,NA,NA
Cer 42:1;2,Cer,SL,MEM,42,1,2,15.0179004669189,0.764962971,12.7586002349854,84.0522995
Cer 42:1;3,Cer,SL,MEM,42,1,3,NA,NA,0.511241972446442,5.567450047
Cer 42:1;4,Cer,SL,MEM,42,1,4,0.567582011222839,NA,0.270595014095306,2.993619919
Cer 42:2;2,Cer,SL,MEM,42,2,2,31.3883991241455,1.320109963,22.9321994781494,124.7030029
Cer 42:2;3,Cer,SL,MEM,42,2,3,0.336659014225006,NA,0.220246002078056,0.842227995
Cer 42:2;4,Cer,SL,MEM,42,2,4,0.131920993328094,NA,NA,0.228532001
Cer 44:1;2,Cer,SL,MEM,44,1,2,0.386256009340286,NA,0.709546029567719,5.175869942
Cer 44:2;2,Cer,SL,MEM,44,2,2,0.648389995098114,NA,0.749588012695312,5.017869949
Cer 44:2;4,Cer,SL,MEM,44,2,4,NA,NA,NA,0.328245014
DAG 12:0;0_18:0;0,DAG,GL,MEM,30,0,0,0.38128200173378,NA,NA,NA
DAG 13:0;0_17:0;0,DAG,GL,MEM,30,0,0,NA,NA,NA,NA
DAG 14:0;0_16:0;0,DAG,GL,MEM,30,0,0,7.89430999755859,NA,NA,NA
DAG 14:0;0_16:1;0,DAG,GL,MEM,30,1,0,NA,1.455819964,NA,NA
DAG 13:0;0_18:0;0,DAG,GL,MEM,31,0,0,0.719632029533386,NA,NA,NA
DAG 14:0;0_17:0;0,DAG,GL,MEM,31,0,0,0.970403015613556,0.25247401,NA,NA
DAG 15:0;0_16:0;0,DAG,GL,MEM,31,0,0,7.06993007659912,1.871719956,NA,2.294660091
DAG 11:0;0_20:1;0,DAG,GL,MEM,31,1,0,0.162639006972313,NA,NA,NA
DAG 13:0;0_18:1;0,DAG,GL,MEM,31,1,0,4.50804996490479,0.69749999,NA,NA
DAG 14:0;0_17:1;0,DAG,GL,MEM,31,1,0,0.872313022613525,0.217331007,NA,NA
DAG 15:0;0_16:1;0,DAG,GL,MEM,31,1,0,3.73696994781494,1.524700046,NA,NA
DAG 15:1;0_16:0;0,DAG,GL,MEM,31,1,0,3.97673010826111,NA,NA,NA
DAG 14:0;0_18:0;0,DAG,GL,MEM,32,0,0,3.03805994987488,0.32595101,NA,NA
DAG 15:0;0_17:0;0,DAG,GL,MEM,32,0,0,1.02915000915527,NA,NA,0.267289996
DAG 16:0;0_16:0;0,DAG,GL,MEM,32,0,0,14.1274995803833,NA,NA,NA
DAG 14:0;0_18:1;0,DAG,GL,MEM,32,1,0,42.1088981628418,3.437609911,NA,1.176560044
